"Site","seasons","seasonal","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Hudson Bay Mountain","Summer","min",-0.27,-2.48,1.48,0,821.41,30.38,-3.79,1.85,270.02,7.02,61.35
"Hudson Bay Mountain","Summer","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Winter","mean",-8.45,-11.16,-5.69,4.45,824.19,84.66,-11.03,5.19,6.99,13.52,38.95
"Hudson Bay Mountain","Winter","max",4.29,2.16,6.59,25.6,844.99,99.33,-0.82,12.81,88.32,26.12,112.38
"Hudson Bay Mountain","Winter","min",-25.36,-26.49,-23.41,0,807.3,36.6,-27.48,0,271.03,0.19,8.79
"Hudson Bay Mountain","Winter","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Kluskus","Fall","mean",1.16,-5.45,7.8,6.4,885.93,81.87,-2.04,1.01,1.58,7.09,84.26
"Kluskus","Fall","max",15.38,8.57,26.82,17,904.29,99.98,11.45,3.49,88.35,16.7,233.84
"Kluskus","Fall","min",-29.86,-35.79,-21.22,0,861.08,52.03,-32,0,270.2,0,2.9
"Kluskus","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Kluskus","Spring","mean",1.96,-6.29,8.82,6.38,885.53,71.8,-3.5,1.06,3.59,8.26,172.92
"Kluskus","Spring","max",16.1,8.84,27.16,16.2,901.61,96.92,8.66,3.87,89.78,28.71,374.42
"Kluskus","Spring","min",-25.72,-33.77,-19.52,0,858.71,38.38,-28.64,0,273.24,2.27,13.58
"Kluskus","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Kluskus","Summer","mean",12.49,4.2,19.73,8.93,890.04,67.09,5.61,0.91,11.89,7.03,225.55
"Kluskus","Summer","max",21.92,14.15,31.92,35.4,902.18,97.05,11.71,2.72,89.09,14.1,385.52
"Kluskus","Summer","min",2.45,-4.2,4.79,0,873.7,37.72,-2.56,0,270.56,0.37,64
"Kluskus","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Kluskus","Winter","mean",-8.69,-14.26,-3.17,5.68,884.98,85.72,-10.9,1.12,352.7,7.24,37.49
"Kluskus","Winter","max",5.5,3.06,12.58,18.2,913.34,99.49,1.02,3.42,87.98,18.37,131.5
"Kluskus","Winter","min",-38.42,-45.99,-27.96,0,858.65,46.42,-41.39,0,270.51,0,2.58
"Kluskus","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Mackenzie Junction","Fall","mean",2.72,-2.75,7.98,8.55,929.68,80.29,-0.42,1.61,351.54,7.43,73.81
"Mackenzie Junction","Fall","max",19.45,14.07,29.41,29.2,952.4,97.8,12.72,3.3,89.9,18.7,231.6
"Mackenzie Junction","Fall","min",-23.97,-28.09,-19.06,0,904,47.4,-27.88,0,270.2,0,4.1
"Mackenzie Junction","Fall","obs_na",0,0,0,1,0,0,0,0,0,0,1
"Mackenzie Junction","Spring","mean",3.6,-4.27,10.36,6.2,928.58,67.87,-2.85,1.68,344.11,8.1,181.06
"Mackenzie Junction","Spring","max",18.4,12.15,28.47,18.6,944.8,96.4,9.98,3.5,89.8,14.5,349.2
"Mackenzie Junction","Spring","min",-24.27,-36.24,-15.91,0,905.3,32.9,-29.56,0.1,270.1,1.9,23.8
"Mackenzie Junction","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Mackenzie Junction","Summer","mean",14.65,6.56,22.12,9.35,931.2,70.14,8.06,1.6,336.81,8.87,220.66
"Mackenzie Junction","Summer","max",23.35,17.3,35.02,46.4,945.7,95.9,14.97,2.7,90,18,381.6
"Mackenzie Junction","Summer","min",4.17,-2.07,6.51,0,915.4,41.5,-1.12,0.5,270.9,3.3,40.5
"Mackenzie Junction","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Mackenzie Junction","Winter","mean",-8.65,-12.94,-5.17,7.31,930.77,83.54,-10.59,1.63,355.53,6.47,40.19
"Mackenzie Junction","Winter","max",5.29,3.41,11.35,26.6,961,98,3.01,3.6,90,15.4,131.6
"Mackenzie Junction","Winter","min",-34.99,-40.82,-27.28,0,900,47.9,-38.5,0,270.1,0,2.3
"Mackenzie Junction","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"McBride Peak","Fall","mean",-0.8,-2.88,2.09,6.76,795.35,81.35,-3.81,4.37,341.92,13.14,87.27
"McBride Peak","Fall","max",18.02,15.58,22.11,18,818.64,100,8.38,13.24,89.39,29.43,253.33
"McBride Peak","Fall","min",-27.55,-29.52,-25.56,0,774.48,11.78,-26.66,0,270.21,0,10.81
"McBride Peak","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"McBride Peak","Spring","mean",-1.01,-3.44,1.92,4.66,794.14,78.12,-4.99,4.19,350.81,13.25,194.5
"McBride Peak","Spring","max",13.84,10.66,18.03,15.8,812.29,100,4.82,9.8,89.03,35.81,382.55
"McBride Peak","Spring","min",-17.13,-20.12,-14.83,0,763.63,29.25,-23.06,0,271.71,0,48.01
"McBride Peak","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"McBride Peak","Summer","mean",8.98,6.01,12.24,9.79,800.53,71.59,3.4,3.48,352.59,12.93,217.32
"McBride Peak","Summer","max",19.86,16.65,23.38,32.4,810.66,100,9.19,8.2,88.86,40.82,408.27
"McBride Peak","Summer","min",-1,-2.77,-0.14,0,788.51,30.87,-4.52,0.75,270.97,5.29,13.95
"McBride Peak","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"McBride Peak","Winter","mean",-8.98,-11.23,-7.11,3.62,792.79,87.31,-10.96,4.49,3.37,12.33,44.29
"McBride Peak","Winter","max",4.55,3.35,7.04,22,813.65,100,-0.29,11.06,89.5,27.09,169.31
"McBride Peak","Winter","min",-24.5,-26.85,-23.2,0,769.76,11.84,-30.29,0,270.6,0,0.6
"McBride Peak","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Middlefork Creek","Fall","mean",-3.47,-12.54,4.39,7.02,898.12,78.14,-9.69,1.43,356.03,7,82.88
"Middlefork Creek","Fall","max",16.55,9.82,32.59,49.4,920.44,100,9.5,4.01,90,16.1,247.7
"Middlefork Creek","Fall","min",-35.79,-41.33,-25.19,0,872.28,38.1,-39.2,0,270.1,0,4.5
"Middlefork Creek","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Middlefork Creek","Spring","mean",-2.79,-13.28,4.52,7.01,899.82,69.99,-10.97,1.7,359.17,8.99,176.62
"Middlefork Creek","Spring","max",14.6,8.23,26.28,26.2,918.93,100,8.4,4.94,90,18.18,364
"Middlefork Creek","Spring","min",-34.55,-47.71,-21,0,871.35,35.8,-41.3,0.06,270.1,2.6,23.5
"Middlefork Creek","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Middlefork Creek","Summer","mean",11.46,1.22,20.08,16.33,901.53,74.68,4.97,1.31,6.98,8.43,208.45
"Middlefork Creek","Summer","max",20.39,11.77,32.34,94.2,916.58,100,13.7,4.37,90,14.09,384.9
"Middlefork Creek","Summer","min",0.64,-8.46,4.57,0,879.33,33.2,-6.7,0.04,270.1,3.15,22.8
"Middlefork Creek","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Middlefork Creek","Winter","mean",-17.09,-23.02,-9.41,3.09,898.38,79.68,-21.74,1.45,357.76,6.78,40.75
"Middlefork Creek","Winter","max",6.08,2.03,11.77,10.6,929.74,100,-0.5,4.28,90,18.74,119.9
"Middlefork Creek","Winter","min",-46.5,-53.55,-37.96,0,868.99,44.3,-51.3,0,270.1,0,3.2
"Middlefork Creek","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Mt Edziza","Fall","mean",-2.69,-4.38,-0.39,2.77,824.27,88.79,-4.27,3.81,NA,11.96,53.34
"Mt Edziza","Fall","max",14.66,12,19.18,13,843.17,100,7.83,12.04,-Inf,26.27,153.17
"Mt Edziza","Fall","min",-20.58,-23.46,-16.33,0,801.1,27.95,-22.1,0,Inf,0,4.98
"Mt Edziza","Fall","obs_na",0,0,0,1,0,0,0,0,1,0,1
"Mt Edziza","Spring","mean",-2.73,-5.52,0.1,NA,825.6,82.3,-5.77,2.71,NA,10.54,154.19
"Mt Edziza","Spring","max",11.41,8,15.77,-Inf,841.75,100,3.08,12.1,-Inf,24.74,306.61
"Mt Edziza","Spring","min",-23.67,-25.73,-22.22,Inf,805.32,33.9,-25.47,0,Inf,0,58.27
"Mt Edziza","Spring","obs_na",0,0,0,1,1,0,0,0,1,0,1
"Mt Edziza","Summer","mean",7.21,4.36,10.83,4.37,832.92,81.32,3.81,2.63,NA,11.24,166.55
"Mt Edziza","Summer","max",19.06,15.63,25.02,17.6,847.4,100,9.7,9.12,-Inf,23.98,346.25
"Mt Edziza","Summer","min",-0.77,-2.45,0.36,0,820.7,33.1,-2.8,0,Inf,0.76,40.4
"Mt Edziza","Summer","obs_na",0,0,0,1,1,0,0,0,1,0,1
"Mt Edziza","Winter","mean",-9.68,-11.87,-7.73,0.4,822.09,86.03,-11.66,3.02,NA,11.48,25.45
"Mt Edziza","Winter","max",1.89,0.66,3.22,0.8,843.45,100,-0.38,10.64,-Inf,30.07,101.6
"Mt Edziza","Winter","min",-26.04,-29.12,-22.99,0,795.48,26.96,-28.46,0,Inf,0,0.6
"Mt Edziza","Winter","obs_na",0,0,0,1,1,0,0,0,1,0,1
"Nonda","Fall","mean",-1.91,-3.84,1.8,6.16,821.53,74.81,-6.21,4.87,19.95,17.52,70.9
"Nonda","Fall","max",18.7,15.72,22.9,37.2,839.08,100,5.8,18.3,89.73,46.94,236.76
"Nonda","Fall","min",-27.17,-29.09,-25.2,0,796.09,13.5,-29.5,0,270.15,0,5.56
"Nonda","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Nonda","Spring","mean",-4.24,-8.64,-1.2,2.98,822.64,69.68,-9.51,4.57,11.83,15.99,188.44
"Nonda","Spring","max",14.16,11.38,18.66,10.8,841.25,100,5.35,15.65,89.95,39.7,380.31
"Nonda","Spring","min",-32.76,-35.06,-29.09,0,795.39,25.08,-35.65,0,270.78,0,26.82
"Nonda","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Nonda","Summer","mean",8.61,6.32,12.43,9.15,828.3,71.9,3.36,4.85,21.9,16.23,201.44
"Nonda","Summer","max",20.24,18.08,24.51,38.2,842.85,100,12,13.59,89.95,32.47,391.04
"Nonda","Summer","min",-0.57,-3.85,-0.16,0,814.11,31.98,-5.67,0,270.26,0,32.91
"Nonda","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Nonda","Winter","mean",-11.26,-14.41,-9.77,2.62,818.9,72.68,-15.96,5.48,14.75,18.16,31.3
"Nonda","Winter","max",8.11,6.62,9.82,11,846.9,100,-0.41,20.56,89.85,46.94,116.03
"Nonda","Winter","min",-37.09,-39.58,-33.73,0,791.76,16.4,-40.4,0,270.2,0,4.5
"Nonda","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Northern Dancer","Fall","mean",-6.4,-8.29,-4.67,4.24,NA,84.35,-8.66,2.87,NA,12.57,48.35
"Northern Dancer","Fall","max",7.52,5.69,9.73,12.2,-Inf,96.18,5.48,8.45,-Inf,25.16,160.67
"Northern Dancer","Fall","min",-22.8,-24.54,-21.17,0,Inf,36.45,-25.08,0,Inf,1.01,5.14
"Northern Dancer","Fall","obs_na",0,0,0,0,1,0,0,0,1,0,0
"Northern Dancer","Spring","mean",-4.78,-6.97,-1.79,2.4,NA,77.07,-8.2,2.62,NA,11.86,185.43
"Northern Dancer","Spring","max",10.32,7.07,14.05,5.4,-Inf,94.78,1.3,7.55,-Inf,23.65,359.67
"Northern Dancer","Spring","min",-20,-23.57,-16.12,0,Inf,38.46,-22.7,0.67,Inf,5.03,51.5
"Northern Dancer","Spring","obs_na",0,0,0,0,1,0,0,1,1,1,0
"Northern Dancer","Summer","mean",7.83,4.97,11.34,5.43,NA,75.08,3.44,NA,NA,NA,209.9
"Northern Dancer","Summer","max",17.19,15.37,22.23,23.4,-Inf,95.99,9.3,-Inf,-Inf,-Inf,400.46
"Northern Dancer","Summer","min",0.05,-1.7,2.26,0,Inf,42.8,-1.53,Inf,Inf,Inf,26.3
"Northern Dancer","Summer","obs_na",0,0,0,0,1,0,0,1,1,1,0
"Northern Dancer","Winter","mean",-11.61,-14.03,-9.26,0.55,NA,80.16,-14.64,2.8,NA,11.97,29.52
"Northern Dancer","Winter","max",1.73,1.04,3.46,1.6,-Inf,95.33,-1.69,10,-Inf,23.65,96.4
"Northern Dancer","Winter","min",-28.7,-30.76,-26.49,0,Inf,27.62,-31.28,0,Inf,0,3.68
"Northern Dancer","Winter","obs_na",0,0,0,0,1,0,0,0,1,0,0
"Pink Mountain","Fall","mean",-2.66,-5.08,0.38,5.72,814.03,75.15,-7.06,5.16,11.22,15.84,86.25
"Pink Mountain","Fall","max",20.09,17.15,23.47,22.6,832.01,100,7.28,11.5,87.85,33.88,248.38
"Pink Mountain","Fall","min",-27.98,-31.29,-24.99,0,788.45,18.28,-30.73,0,270.43,0,8.48
"Pink Mountain","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Pink Mountain","Spring","mean",-4.31,-6.88,-0.77,5.22,814.27,72.47,-9.1,4.8,11.45,15.41,195.04
"Pink Mountain","Spring","max",13.94,12.24,17.77,25.8,832.4,99.22,5.11,13.69,89.5,33.12,404.05
"Pink Mountain","Spring","min",-30.3,-33.73,-28.05,0,787.07,22.58,-35.41,0,270.85,0,35.4
"Pink Mountain","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Pink Mountain","Summer","mean",9.08,6.5,12.3,11.8,820.39,69.81,3.31,4.32,8.16,15.16,230.45
"Pink Mountain","Summer","max",21.64,19.22,25.48,45.6,834.96,100,10.32,12.18,89.03,29.69,421.35
"Pink Mountain","Summer","min",-4.29,-5.51,-2.28,0,799.67,26.75,-5.9,0.1,274.88,4.95,26.97
"Pink Mountain","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Pink Mountain","Winter","mean",-11.35,-13.17,-7.85,10.35,811.1,72.5,-15.72,5.56,8.36,17.84,41.42
"Pink Mountain","Winter","max",6.88,4.69,9.42,87.61,835.8,94.16,-1.23,14.13,87.32,36.17,136.24
"Pink Mountain","Winter","min",-36.65,-37.96,-36.46,0,787.1,13.33,-40.77,0,270.44,0,4.2
"Pink Mountain","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Saxton Lake","Fall","mean",3.05,-6.98,6.39,7.74,927.41,80.43,-2.49,1.74,350.22,8.6,90.32
"Saxton Lake","Fall","max",17.12,12.16,29.1,28.6,948.6,100,13.3,5.31,89.91,17.44,256.04
"Saxton Lake","Fall","min",-26.65,-35.05,-18.05,0,901.64,40.7,-29,0,270.02,0,5.93
"Saxton Lake","Fall","obs_na",0,0,0,0,0,0,0,1,0,1,0
"Saxton Lake","Spring","mean",3.16,-8.26,6.82,6.74,927.1,71.02,-4.32,2.07,357.09,9.52,192.48
"Saxton Lake","Spring","max",18.35,11.38,28.31,31.2,945.09,100,11.7,5.36,89.85,18.18,383.59
"Saxton Lake","Spring","min",-25.67,-41.33,-17.35,0,897.25,36.7,-34.2,0.32,270.01,2.23,20.93
"Saxton Lake","Spring","obs_na",0,0,0,0,0,1,1,1,0,0,0
"Saxton Lake","Summer","mean",14.53,6.6,21.52,8.65,929.01,72.61,7.72,2.09,3.56,9.42,247.85
"Saxton Lake","Summer","max",23.07,15.62,33.59,32.6,941.53,100,14.7,5.88,89.79,19.48,411.34
"Saxton Lake","Summer","min",5.19,-1.97,7.03,0,913.46,41.9,-1.6,0.13,270.08,2.78,44.48
"Saxton Lake","Summer","obs_na",1,1,0,0,0,1,1,0,0,0,0
"Saxton Lake","Winter","mean",-8.92,-14.72,-6.31,6.8,928.67,82.4,-14.22,1.72,344.31,7.91,44.77
"Saxton Lake","Winter","max",7.51,4.15,12.55,35.8,958.25,100,3.8,5.56,89.91,23.93,153.28
"Saxton Lake","Winter","min",-36.05,-43.24,-27.06,0,892.74,45.2,-40.3,0,270.03,0,4.25
"Saxton Lake","Winter","obs_na",0,0,0,0,0,0,0,1,0,0,0
"Thompson","Fall","mean",3.12,-1.19,7.59,8.03,909.87,78.26,-0.2,2.08,356.04,7.76,86.46
"Thompson","Fall","max",19.21,13.32,29.02,34.8,930.4,100,10.96,4.6,90,19.1,258.8
"Thompson","Fall","min",-22.38,-27.06,-17.36,0,883.5,45.4,-24.72,0,270.6,0.2,3.7
"Thompson","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Thompson","Spring","mean",3.35,-2.78,8.64,6.67,909.18,66.26,-3.46,2.05,354.87,8.18,180.04
"Thompson","Spring","max",19,10.99,27.12,34.6,928.2,100,10.12,4.6,89.7,19.7,364.5
"Thompson","Spring","min",-22.67,-28.92,-17.9,0,879.1,27.3,-29.55,0,270.1,0,23.3
"Thompson","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Thompson","Summer","mean",14.04,7.6,20.21,7.14,913.8,63.02,5.89,1.92,4.17,7.05,232.78
"Thompson","Summer","max",24.9,18.28,34.26,38.8,927.4,100,13.55,4.2,89.9,13.9,401.9
"Thompson","Summer","min",5.52,-1.16,8.23,0,895.9,31.6,-4.37,0,270.1,0,43.2
"Thompson","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Thompson","Winter","mean",-7.83,-12.18,-4.83,6.9,909.89,82.6,-9.85,2.04,350.04,7.53,44.73
"Thompson","Winter","max",4.63,2.03,10.21,29.6,940.1,100,2.08,4.5,89.9,17.1,160.3
"Thompson","Winter","min",-31.63,-36.46,-26.11,0,875,47.4,-35.76,0,270.1,0,3.5
"Thompson","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Willow-Bowron","Fall","mean",4.47,-1.04,9.44,7.53,943.69,84.86,1.92,0.47,3.8,3.95,47.11
"Willow-Bowron","Fall","max",20.5,12.55,30.31,23.6,965.53,100,14.46,1.35,89.94,9.28,166.75
"Willow-Bowron","Fall","min",-28.54,-32.48,-22.6,0,917.36,33.25,-31.5,0,270.48,0,2.9
"Willow-Bowron","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Willow-Bowron","Spring","mean",4.71,-2.37,12.12,7.09,943.11,72.53,-0.91,0.43,3.07,3.9,115.9
"Willow-Bowron","Spring","max",19.26,11.18,29.82,24,961.1,100,11.58,1.14,89.73,8.05,324.73
"Willow-Bowron","Spring","min",-23.55,-35.05,-13.48,0,912.7,35.58,-30.6,0,270.08,0,10.4
"Willow-Bowron","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Willow-Bowron","Summer","mean",14.79,7.68,22.95,8.68,944.66,75.86,9.32,0.29,8.18,3.14,166.61
"Willow-Bowron","Summer","max",22.89,15.62,35.27,29.8,957.15,100,16.12,0.76,89.8,6.54,306.09
"Willow-Bowron","Summer","min",5.89,-1.51,7.62,0,928.94,42.81,-1.09,0,270.17,0,30.1
"Willow-Bowron","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Willow-Bowron","Winter","mean",-6.89,-11.42,-3.82,6.39,944.66,86.67,-8.69,0.58,357.37,3.91,17.99
"Willow-Bowron","Winter","max",8.47,5.39,13.28,21,974.67,100,4.48,1.35,89.98,9.09,70.66
"Willow-Bowron","Winter","min",-33.54,-37.96,-27.06,0,908.1,45.96,-36.43,0,270.48,0,1.65
"Willow-Bowron","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
